unicef_region,country_iso3,country,vaccine,year,immunization_coverage,antigen_family,gdp_per_capita_usd,health_exp_pct_gdp,population_total,gni_per_capita_usd,gavi_eligible,pharma_tariff_rate,reporter_flag,oop_health_exp_pct,tariff_x_oop
Non-programme,IRL,Ireland,PCV3,2020,87,PCV,86514.07061,6.97323275,5039747,64420,0,1.2538745506076112,1,11.43556595,0.14338765116499952
Non-programme,ISR,Israel,PCV3,2020,94,PCV,44575.5719,7.74801874,9215100,43370,0,0.4376836725353078,1,20.42716408,0.089406362
Non-programme,ITA,Italy,PCV3,2020,91,PCV,32091.48666,9.5643034,59438851,32600,0,0.968475191,1,21.48380089,0.2080652817233567
Non-programme,JPN,Japan,PCV3,2020,95,PCV,40028.73417,11.44974613,126261000,40930,0,1.5241726389126138,1,11.5586462,0.17617372280911256
ECAR,KAZ,Kazakhstan,PCV3,2020,89,PCV,8781.507978,3.83133817,19482117,8380,0,4.216581910615115,1,27.74455261,1.1698717865343538
EAPR,KIR,Kiribati,PCV3,2020,91,PCV,1751.782492,13.65645027,126099,3070,0,17.266679606864276,1,0.68435019,0.11816455469626692
MENA,KWT,Kuwait,PCV3,2020,94,PCV,25236.07558,6.11295223,4400267,33150,0,3.508299244854993,1,10.39933586,0.3648398214463145
EAPR,LAO,Lao People's Democratic Republic,PCV3,2020,58,PCV,2583.777307,2.05965185,7346533,2470,0,1.6226746809345793,1,41.05789185,0.6662360155754521
Non-programme,LVA,Latvia,PCV3,2020,91,PCV,17564.23215,7.50587368,1900449,17350,0,0.6383164945819219,1,31.87391663,0.20345646731858025
MENA,LBN,Lebanon,PCV3,2020,74,PCV,5561.19167,7.48221779,5702398,6350,0,2.5837080689205423,1,30.31226349,0.7831803976635855
Non-programme,LTU,Lithuania,PCV3,2020,83,PCV,20428.64782,7.41619062,2810369,19800,0,0.6177633936923964,1,28.66090393,0.1770565727808854
Non-programme,LUX,Luxembourg,PCV3,2020,96,PCV,116860.0282,5.7671175,630419,80090,0,0.6898494322645855,1,8.38729095,0.057859679
WCAR,MRT,Mauritania,PCV3,2020,82,PCV,1795.764596,3.00147843,4600131,1720,0,7.777472537087911,1,61.51318359,4.784170960400718
Non-programme,MUS,Mauritius,PCV3,2020,96,PCV,9135.847738,6.09606028,1266014,10760,0,1.168068342938412,1,43.58466339,0.5090986554348578
LACR,MEX,Mexico,PCV3,2020,77,PCV,8841.27075,6.05248594,126799054,8920,0,1.1155175973927363,1,38.76134109,0.43238958084437146
EAPR,MNG,Mongolia,PCV3,2020,92,PCV,4001.251931,4.6662488,3327204,3690,0,5,1,43.71080399,2.1855402
